college,region,rank, magic_no,female_bb,male_bb,female_grad,male_grad,female_stem,male_stem,female_admin,male_admin,abbrev
Harvard University,West,13,0,0,0,98,97,2.67,4.03,6,6,Harvard
Villanova University,East,1,4.94,100,100,91,90,3.61,6.55,49,48,Villanova
Wofford College,West,12,6.42,22,23,84,79,5.05,5.47,45,45,Wofford
University of Kansas,Midwest,2,9.31,74,74,64,59,1.64,2.95,94,91,Kansas
University of Louisville,East,4,9.36,88,87,54,53,1.11,3.47,69,74,Louisville
University of Notre Dame,Midwest,3,12.86,85,79,96,93,3.74,6.6,22,23,Notre Dame
North Dakota State University-Main Campus,South,15,13.08,13,20,55,52,1.97,5.05,84,84,ND State
Boise State University,East,11,14.13,88,88,40,36,0.39,1.52,82,73,Boise State
University of Oregon,West,8,14.14,75,76,68,65,1.67,1.81,79,69,Oregon
University of Mississippi,West,11,14.89,86,81,62,54,1.18,2.07,60,59,Ole Miss
University of Cincinnati-Main Campus,Midwest,8,15.93,88,79,58,57,1.23,4.16,72,75,Cincinnati
Duke University,South,1,16.85,81,73,96,92,5.71,9.56,13,14,Duke
Valparaiso University,Midwest,13,17.06,83,92,69,71,1.84,6.9,79,80,Valparaiso
Hampton University,Midwest,16,18.05,68,71,73,58,2.08,2.03,36,36,Hampton
The University of Texas at Austin,Midwest,11,19.4,82,86,82,76,3.41,0.01,43,37,UT Austin
St John's University-New York,South,9,20.5,86,75,59,52,1,1.5,52,54,St John's
Indiana University-Bloomington,Midwest,10,20.74,94,78,79,75,1.17,1.91,72,72,Indiana
Louisiana State University and Agricultural & Mechanical College,East,9,21.06,100,87,72,66,2.6,4.66,76,76,LSU
Georgetown University,South,4,21.67,71,87,93,91,1.05,1.72,16,19,Georgetown
Butler University,Midwest,6,21.78,84,75,76,71,1.81,2.59,69,62,Butler
University of Maryland-College Park,Midwest,4,21.89,86,75,87,81,3.37,6.26,46,48,Maryland
Baylor University,West,3,22.27,100,86,77,72,2.52,4.79,58,57,Baylor
University of Wisconsin-Madison,West,1,22.73,73,82,84,81,3.74,0.01,71,64,Wisconsin
Eastern Washington University,South,13,22.74,94,100,49,41,1.41,2.15,83,75,E Washington
Robert Morris University,South,16,22.87,100,88,60,53,0.9,1.77,79,82,Robert Morris
San Diego State University,South,8,22.96,86,76,69,62,1.2,3.16,33,29,SDSU
Ohio State University-Main Campus,West,10,24.06,108,92,85,82,2.06,0,57,54,Ohio State
University of California-Irvine,East,13,24.1,100,88,87,84,5.11,0.01,44,40,UC Irvine
